City,Cloudiness,Country Code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Charlottetown,90.0,CA,1607904431.0,100.0,46.24,-63.13,41.0,2.24
Atar,96.0,MR,1607904431.0,24.0,20.52,-13.05,65.8,7.25
Magistral'nyy,24.0,RU,1607904432.0,83.0,56.17,107.45,-23.78,4.76
Creemore,96.0,CA,1607904432.0,93.0,44.33,-80.11,32.0,4.7
Methóni,100.0,GR,1607904432.0,83.0,36.82,21.7,55.0,6.93
São Filipe,19.0,CV,1607904432.0,72.0,14.9,-24.5,74.73,10.07
Pemba,20.0,MZ,1607904432.0,88.0,-12.97,40.52,78.8,6.93
Tiarei,40.0,PF,1607904432.0,66.0,-17.53,-149.33,86.0,13.87
Chiang Klang,40.0,TH,1607904432.0,100.0,19.29,100.86,59.0,1.19
Kurchum,92.0,KZ,1607904432.0,80.0,48.57,83.65,-1.93,0.25
Gardez,75.0,AF,1607904432.0,93.0,33.6,69.23,22.48,5.06
Saint-Louis,100.0,SN,1607904432.0,18.0,16.33,-15.0,74.66,9.86
Aykhal,0.0,RU,1607904433.0,74.0,66.0,111.5,-25.6,6.71
Luangwa,99.0,ZM,1607904433.0,85.0,-15.62,30.42,73.98,1.19
Bonthe,38.0,SL,1607904433.0,84.0,7.53,-12.51,78.93,5.26
Cap Malheureux,29.0,MU,1607904433.0,85.0,-19.98,57.61,73.99,1.99
Chokwé,0.0,MZ,1607904433.0,81.0,-24.53,32.98,76.44,4.18
La Ronge,0.0,CA,1607904433.0,69.0,55.1,-105.28,-7.6,4.7
Moundou,22.0,TD,1607904433.0,26.0,8.57,16.08,74.59,1.77
Sola,75.0,VU,1607904433.0,70.0,-13.88,167.55,87.8,2.24
Myanaung,0.0,MM,1607904433.0,78.0,18.28,95.32,62.04,3.27
Emerald,14.0,AU,1607904434.0,44.0,-23.53,148.17,86.0,13.87
Hua Hin,100.0,TH,1607904434.0,88.0,12.57,99.96,75.2,2.24
Port Lincoln,1.0,AU,1607904434.0,50.0,-34.73,135.87,80.26,11.39
Yola,0.0,NG,1607904434.0,24.0,9.2,12.48,77.43,2.48
Athabasca,35.0,CA,1607904434.0,76.0,54.72,-113.29,-5.8,5.82
Rūdbār,0.0,AF,1607904434.0,65.0,30.15,62.6,35.49,9.64
Launceston,75.0,AU,1607904434.0,60.0,-41.45,147.17,73.99,10.29
Champerico,40.0,GT,1607904435.0,66.0,14.3,-91.92,84.2,6.93
Clyde River,90.0,CA,1607904435.0,76.0,70.47,-68.59,-4.0,9.17
Moose Factory,90.0,CA,1607904435.0,78.0,51.26,-80.61,12.2,6.93
Saint-Doulchard,40.0,FR,1607904435.0,87.0,47.1,2.35,46.0,9.17
Sibu,40.0,MY,1607904435.0,100.0,2.3,111.82,75.2,1.41
Izoplit,100.0,RU,1607904435.0,97.0,56.63,36.22,24.67,7.0
Nabire,99.0,ID,1607904351.0,71.0,-3.37,135.48,84.33,1.41
Lucapa,100.0,AO,1607904435.0,99.0,-8.42,20.74,65.34,3.65
Bonham,90.0,US,1607904435.0,93.0,33.58,-96.18,36.0,17.22
São José da Coroa Grande,65.0,BR,1607904435.0,77.0,-8.9,-35.15,78.66,10.31
Coyhaique,90.0,CL,1607904436.0,66.0,-45.58,-72.07,50.0,4.7
Padang,100.0,ID,1607904196.0,69.0,-0.95,100.35,77.72,3.36
Gweta,100.0,BW,1607904436.0,64.0,-20.18,25.23,73.94,13.15
Acajutla,0.0,SV,1607904436.0,45.0,13.59,-89.83,84.2,2.24
Narsaq,75.0,GL,1607904436.0,86.0,60.92,-46.05,26.6,1.12
Vestmanna,100.0,FO,1607904436.0,87.0,62.16,-7.17,44.6,32.21
Harper,49.0,LR,1607904436.0,85.0,4.38,-7.72,78.49,6.02
Tashtyp,100.0,RU,1607904436.0,92.0,52.79,89.9,12.69,5.91
Snyder,1.0,US,1607904436.0,64.0,32.72,-100.92,35.6,13.87
Saint-Gilles,0.0,FR,1607904437.0,86.0,43.68,4.43,41.0,2.24
Melilla,0.0,ES,1607904437.0,87.0,35.29,-2.94,57.2,1.03
Kichmengskiy Gorodok,66.0,RU,1607904437.0,95.0,59.98,45.79,15.48,7.81
Misratah,8.0,LY,1607904437.0,68.0,32.38,15.09,62.01,28.21
Lázaro Cárdenas,0.0,MX,1607904437.0,75.0,17.96,-102.2,78.42,3.18
Dotnuva,100.0,LT,1607904437.0,92.0,55.35,23.9,28.4,2.24
Ladário,50.0,BR,1607904437.0,56.0,-19.0,-57.6,83.03,2.66
Bendigo,3.0,AU,1607904437.0,53.0,-36.77,144.28,86.0,1.99
Okhotsk,100.0,RU,1607904438.0,82.0,59.38,143.3,-2.33,18.99
Khovd,51.0,MN,1607904438.0,83.0,48.01,91.64,-3.71,1.43
Ambilobe,35.0,MG,1607904438.0,86.0,-13.2,49.05,74.19,2.3
Rome,90.0,US,1607904438.0,69.0,43.21,-75.46,37.4,13.87
Hanna,8.0,CA,1607904438.0,91.0,51.63,-111.9,1.4,11.41
Oktyabr'skiy,94.0,RU,1607904438.0,91.0,54.48,53.47,6.13,3.98
Itaituba,100.0,BR,1607904380.0,78.0,-4.28,-55.98,78.58,1.28
Santa Fe,32.0,AR,1607904438.0,71.0,-31.63,-60.7,66.99,3.0
Krutinka,75.0,RU,1607904438.0,95.0,56.01,71.51,7.47,10.4
Wagar,0.0,SD,1607904438.0,86.0,16.15,36.2,65.41,8.81
Qazvin,0.0,IR,1607904439.0,92.0,36.28,50.0,28.4,2.24
Mayo,1.0,US,1607904439.0,62.0,38.89,-76.51,53.6,8.05
Sorochinsk,100.0,RU,1607904439.0,93.0,52.43,53.16,10.26,2.95
Nobres,65.0,BR,1607904439.0,77.0,-14.72,-56.33,77.2,5.06
Coruripe,93.0,BR,1607904439.0,77.0,-10.13,-36.18,76.66,7.99
Marrakesh,75.0,MA,1607904398.0,87.0,31.63,-8.01,59.0,2.24
Orlik,95.0,RU,1607904439.0,79.0,52.52,99.83,-13.29,2.62
Jieshi,93.0,CN,1607904439.0,77.0,22.81,115.83,66.99,1.99
Bijie,100.0,CN,1607904439.0,85.0,27.31,105.29,35.8,3.76
Lagan,86.0,RU,1607904439.0,96.0,45.39,47.37,32.0,19.22
Khandyga,55.0,RU,1607904439.0,70.0,62.67,135.6,-54.47,1.21
Konya Province,75.0,TR,1607904270.0,87.0,38.17,32.5,46.4,9.17
Preobrazheniye,0.0,RU,1607904440.0,78.0,42.9,133.91,8.1,10.0
Vestmannaeyjar,100.0,IS,1607904440.0,83.0,63.44,-20.27,42.62,25.57
Kitimat,98.0,CA,1607904373.0,73.0,54.05,-128.65,34.0,3.49
Alofi,90.0,NU,1607904440.0,94.0,-19.06,-169.92,77.0,9.17
Kumul,0.0,CN,1607904440.0,73.0,42.8,93.45,10.8,4.29
Benghazi,65.0,LY,1607904440.0,69.0,32.12,20.07,62.6,24.34
Namatanai,77.0,PG,1607904440.0,72.0,-3.67,152.43,85.06,5.37
Gizo Government Station,72.0,SB,1607904440.0,67.0,-8.1,156.84,86.04,8.39
Barentu,0.0,ER,1607904440.0,84.0,15.11,37.59,59.18,3.71
Palmer,90.0,US,1607904440.0,61.0,42.16,-72.33,46.4,5.82
Jardim,26.0,BR,1607904441.0,62.0,-21.48,-56.14,80.11,4.0
Maniitsoq,100.0,GL,1607904441.0,91.0,65.42,-52.9,17.94,7.11
Kutum,100.0,SD,1607904441.0,27.0,14.2,24.67,63.72,4.85
Alihe,1.0,CN,1607904441.0,80.0,50.57,123.72,-12.01,5.1
Mehamn,88.0,NO,1607904441.0,94.0,71.04,27.85,29.52,11.03
Torbat-e Jām,0.0,IR,1607904441.0,83.0,35.24,60.62,25.52,1.63
Uray,99.0,RU,1607904441.0,90.0,60.12,64.78,18.57,11.65
Saint Anthony,90.0,US,1607904441.0,79.0,45.02,-93.22,27.0,9.17
Baião,79.0,BR,1607904441.0,86.0,-2.79,-49.67,76.15,3.04
Nyurba,99.0,RU,1607904441.0,84.0,63.28,118.33,-26.5,8.28
Srednekolymsk,100.0,RU,1607904441.0,86.0,67.45,153.68,-24.0,6.93
Port Hardy,75.0,CA,1607904196.0,87.0,50.7,-127.42,44.6,16.11
Sioux Lookout,90.0,CA,1607904442.0,92.0,50.1,-91.92,15.8,4.7
Isla Mujeres,40.0,MX,1607904442.0,83.0,21.23,-86.73,80.6,6.93
Zenzeli,62.0,RU,1607904442.0,96.0,45.92,47.05,27.99,18.57
Puerto Madryn,69.0,AR,1607904442.0,25.0,-42.77,-65.04,68.34,20.74
Zavetnyy,86.0,RU,1607904442.0,77.0,44.93,41.14,38.66,14.9
Sept-Îles,100.0,CA,1607904442.0,92.0,50.2,-66.38,21.2,10.29
Gela,0.0,IT,1607904442.0,93.0,37.08,14.23,50.0,3.36
Wanning,93.0,CN,1607904442.0,89.0,18.8,110.4,74.41,7.47
Suez,0.0,EG,1607904406.0,70.0,29.97,32.53,70.61,20.58
Carutapera,52.0,BR,1607904443.0,85.0,-1.2,-46.02,77.76,4.76
Vostok,97.0,RU,1607904443.0,90.0,46.49,135.88,-11.22,4.76
City of San Pedro,20.0,PH,1607904443.0,83.0,14.35,121.02,82.0,9.71
Zacualpa,75.0,GT,1607904443.0,73.0,15.08,-90.83,71.6,6.93
Nome,20.0,US,1607904380.0,56.0,64.5,-165.41,15.8,24.16
Codajás,95.0,BR,1607904344.0,77.0,-3.84,-62.06,80.06,1.7
Pandan,79.0,PH,1607904443.0,80.0,14.05,124.17,82.06,11.68
Shache,94.0,CN,1607904443.0,98.0,38.42,77.24,23.11,5.3
Fredericton,90.0,CA,1607904347.0,100.0,45.95,-66.67,33.8,3.36
Ust-Nera,92.0,RU,1607904444.0,73.0,64.57,143.2,-25.78,2.55
Lodwar,67.0,KE,1607904444.0,46.0,3.12,35.6,78.78,6.02
Dolisie,100.0,CG,1607904444.0,96.0,-4.2,12.67,71.47,1.28
Labuhan,100.0,ID,1607904444.0,86.0,-6.88,112.21,77.09,5.99
Apricena,40.0,IT,1607904444.0,81.0,41.78,15.44,48.2,16.11
Birin,8.0,NP,1607904444.0,91.0,26.89,88.07,45.48,3.85
Yatou,72.0,CN,1607904444.0,94.0,37.15,122.38,24.19,11.39
Ābyek,49.0,IR,1607904444.0,92.0,36.07,50.55,30.2,6.93
Guerrero Negro,0.0,MX,1607904445.0,25.0,27.98,-114.06,68.52,17.72
Paldiski,100.0,EE,1607904445.0,87.0,59.36,24.05,27.0,4.7
Basoko,92.0,CD,1607904445.0,94.0,1.24,23.62,71.28,3.76
Aswān,18.0,EG,1607904445.0,37.0,24.09,32.91,67.35,6.85
Sorong,91.0,ID,1607904445.0,77.0,-0.88,131.25,82.49,4.27
Safford,1.0,US,1607904445.0,18.0,32.83,-109.71,53.6,13.87
Khairpur,0.0,PK,1607904445.0,43.0,27.53,68.76,53.91,4.36
Likasi,100.0,CD,1607904445.0,100.0,-10.98,26.73,61.23,2.64
Ratnagiri,81.0,IN,1607904445.0,77.0,16.98,73.3,77.22,3.2
Husavik,40.0,IS,1607904446.0,86.0,66.04,-17.34,41.0,6.93
Nanning,90.0,CN,1607904446.0,100.0,22.82,108.32,57.2,11.18
Butte,90.0,US,1607904446.0,87.0,39.65,-121.57,51.8,14.99
Itororó,12.0,BR,1607904446.0,83.0,-15.12,-40.07,67.32,2.95
Ueno-ebisumachi,91.0,JP,1607904446.0,68.0,34.75,136.13,48.0,5.99
Darhan,0.0,MN,1607904446.0,83.0,49.49,105.92,-6.92,4.88
Vänersborg,89.0,SE,1607904446.0,93.0,58.38,12.32,39.0,4.7
Metro,100.0,ID,1607904446.0,87.0,-5.11,105.31,75.99,3.4
Conceição da Barra,1.0,BR,1607904447.0,81.0,-18.59,-39.73,74.66,6.85
Hay River,22.0,CA,1607904447.0,68.0,60.82,-115.8,-18.4,3.36
Praia da Vitória,40.0,PT,1607904447.0,81.0,38.73,-27.07,54.0,16.24
Umluj,17.0,SA,1607904261.0,44.0,25.02,37.27,74.43,1.63
Kyren,63.0,RU,1607904447.0,75.0,51.68,102.14,-1.46,1.14
Kigoma,96.0,TZ,1607904447.0,79.0,-4.88,29.63,72.09,5.82
Ialibu,88.0,PG,1607904447.0,65.0,-6.28,143.99,68.45,3.76
Senno,99.0,RU,1607904448.0,91.0,59.53,33.92,24.01,4.97
Tiznit Province,1.0,MA,1607904448.0,79.0,29.58,-9.5,57.7,1.36
Camacha,75.0,PT,1607904448.0,93.0,33.08,-16.33,60.8,5.82
Marsá Maţrūḩ,75.0,EG,1607904428.0,82.0,31.35,27.25,55.4,11.41
Lamu,1.0,KE,1607904448.0,78.0,-2.27,40.9,78.8,3.36
San Policarpo,96.0,PH,1607904448.0,77.0,12.18,125.51,83.01,11.01
Kolondiéba,0.0,ML,1607904448.0,23.0,11.09,-6.89,73.8,3.53
Sulangan,13.0,PH,1607904448.0,79.0,11.14,123.72,82.27,13.09
Montrose,23.0,US,1607904448.0,61.0,38.42,-108.27,21.99,1.01
Polyarny,75.0,RU,1607904448.0,92.0,69.2,33.45,24.8,2.24
Kiama,87.0,AU,1607904449.0,82.0,-34.68,150.87,73.99,5.01
Port Shepstone,93.0,ZA,1607904449.0,89.0,-30.74,30.45,71.85,13.69
Krasnoarmiys'k,100.0,UA,1607904395.0,91.0,48.28,37.18,34.09,15.5
The Valley,20.0,AI,1607904449.0,83.0,18.22,-63.06,78.8,6.93
Cabo San Lucas,5.0,MX,1607904449.0,64.0,22.89,-109.91,75.99,11.41
Ossora,5.0,RU,1607904449.0,87.0,59.24,163.07,4.15,4.97
Mbandaka,66.0,CD,1607904450.0,91.0,0.05,18.26,70.2,2.82
Burla,0.0,IN,1607904450.0,67.0,21.5,83.87,64.81,3.24
Tete,40.0,MZ,1607904450.0,83.0,-16.16,33.59,77.0,4.7
San Andrés,20.0,CO,1607904450.0,70.0,12.58,-81.7,84.2,9.17
Puerto Quijarro,47.0,BO,1607904450.0,47.0,-17.78,-57.77,85.87,2.91
Dalby,100.0,AU,1607904450.0,74.0,-27.18,151.27,73.99,3.0
Turukhansk,100.0,RU,1607904450.0,94.0,65.82,87.98,4.05,12.88
Cervo,94.0,ES,1607904450.0,83.0,43.67,-7.41,60.01,5.01
Zhigansk,62.0,RU,1607904450.0,78.0,66.77,123.37,-42.93,14.52
Şugag,90.0,RO,1607904451.0,87.0,45.77,23.63,43.0,3.36
Balestrand,75.0,NO,1607904451.0,52.0,61.21,6.53,42.8,4.7
Chara,6.0,RU,1607904451.0,69.0,56.91,118.26,-35.45,0.18
Ilulissat,100.0,GL,1607904451.0,73.0,69.22,-51.1,24.8,9.17
Kibala,0.0,TD,1607904451.0,77.0,9.11,18.35,68.0,1.28
Kisanga,6.0,TZ,1607904451.0,90.0,-7.44,37.7,72.43,2.59
Kholm,100.0,RU,1607904451.0,98.0,59.27,32.85,24.01,4.09
Changzhou,78.0,CN,1607904431.0,73.0,31.78,119.97,35.01,3.0
Ozernovskiy,100.0,RU,1607904451.0,85.0,51.5,156.52,35.42,55.61
Haldībāri,0.0,IN,1607904452.0,75.0,26.33,88.77,61.27,4.74
Lavrentiya,100.0,RU,1607904452.0,83.0,65.58,-171.0,15.24,37.54
Juneau,75.0,US,1607904452.0,92.0,58.3,-134.42,32.0,3.36
Lypova Dolyna,100.0,UA,1607904452.0,97.0,50.56,33.8,32.29,11.12
Reconquista,44.0,AR,1607904452.0,54.0,-29.15,-59.65,66.58,10.07
Port-Gentil,40.0,GA,1607904452.0,88.0,-0.72,8.78,80.6,8.05
Inuvik,45.0,CA,1607904293.0,73.0,68.35,-133.72,-29.2,5.82
Boyuibe,90.0,BO,1607904452.0,55.0,-20.42,-63.28,86.0,4.99
Mackenzie,90.0,CA,1607904452.0,72.0,55.3,-123.17,12.2,2.24
Lancaster,100.0,US,1607904452.0,80.0,40.25,-76.25,45.0,7.05
Campbell River,90.0,CA,1607904418.0,100.0,50.02,-125.24,39.0,5.82
Sühbaatar,14.0,MN,1607904453.0,84.0,50.23,106.21,-9.27,2.8
Neiafu,90.0,TO,1607904453.0,94.0,-18.65,-173.98,78.8,20.8
Blagoyevo,81.0,RU,1607904453.0,95.0,63.37,47.92,16.12,7.0
Mahon,0.0,ES,1607904453.0,87.0,39.89,4.27,53.6,5.82
Uruçuí,17.0,BR,1607904453.0,53.0,-7.23,-44.56,80.55,4.05
Saint-Leu,90.0,RE,1607904454.0,83.0,-21.15,55.28,75.2,20.8
Yulara,75.0,AU,1607904454.0,55.0,-25.24,130.99,86.0,11.41
Santa Maria,90.0,BR,1607904454.0,88.0,-29.68,-53.81,73.4,4.7
San Cristobal,40.0,VE,1607904454.0,69.0,7.77,-72.22,80.6,6.93
Queenstown,52.0,ZA,1607904454.0,90.0,-31.9,26.88,57.31,1.48
Balkanabat,0.0,TM,1607904454.0,68.0,39.51,54.37,36.36,13.24
Sierra Vista,40.0,US,1607904454.0,18.0,31.55,-110.3,51.8,10.29
Krasnozerskoye,99.0,RU,1607904454.0,95.0,53.98,79.24,3.96,6.96
Kruisfontein,6.0,ZA,1607904454.0,95.0,-34.0,24.73,64.99,1.01
Caxito,31.0,AO,1607904454.0,85.0,-8.58,13.66,70.74,1.36
Stratford,1.0,US,1607904455.0,57.0,41.18,-73.13,51.8,6.93
Kishanpur,12.0,IN,1607904455.0,48.0,25.65,81.02,59.65,4.76
Zhezkazgan,42.0,KZ,1607904455.0,78.0,47.8,67.71,8.82,1.79
Lafiagi,0.0,NG,1607904455.0,51.0,8.87,5.42,78.93,4.45
Viedma,42.0,AR,1607904385.0,43.0,-40.81,-63.0,60.01,4.61
Dorogobuzh,100.0,RU,1607904455.0,98.0,54.91,33.3,28.67,7.2
Wajima,90.0,JP,1607904455.0,79.0,37.4,136.9,41.0,4.7
Lagoa,25.0,PT,1607904455.0,64.0,39.05,-27.98,57.83,26.66
Talcahuano,0.0,CL,1607904455.0,59.0,-36.72,-73.12,62.6,16.11
Hirado,75.0,JP,1607904455.0,60.0,33.36,129.55,42.8,20.8
Quthing,54.0,LS,1607904456.0,65.0,-30.4,27.7,60.42,1.9
Black Forest,1.0,US,1607904456.0,79.0,39.01,-104.7,21.2,5.82
